function;lvl;duration;type;nb_tuiles;
make_tuile_by_engine;15;2.4860339164733887;G and BW;1;
make_tuile_by_engine;15;0.427994966506958;G and BW;1;
make_tuile_by_engine;15;0.45777153968811035;G and BW;1;
make_tuile_by_engine;15;0.4171774387359619;G and BW;1;
make_tuile_by_engine;15;0.4204988479614258;G and BW;1;
make_tuile_by_engine;15;0.45311880111694336;G and BW;1;
make_tuile_by_engine;15;0.43671679496765137;G and BW;1;
make_tuile_by_engine;15;0.4356517791748047;G and BW;1;
make_tuile_by_engine;15;0.42796897888183594;G and BW;1;
make_tuile_by_engine;15;0.4269111156463623;G and BW;1;
make_tuile_by_engine;15;0.4186840057373047;G and BW;1;
make_tuile_by_engine;15;0.43275976181030273;G and BW;1;
make_tuile_by_engine;15;0.4392671585083008;G and BW;1;
make_tuile_by_engine;15;0.4301416873931885;G and BW;1;
make_tuile_by_engine;15;0.42717480659484863;G and BW;1;
make_tuile_by_engine;15;0.4756486415863037;G and BW;1;
make_tuile_by_engine;15;0.4201228618621826;G and BW;1;
make_tuile_by_engine;15;0.4183344841003418;G and BW;1;
make_tuile_by_engine;15;0.43202638626098633;G and BW;1;
make_tuile_by_engine;15;0.42188549041748047;G and BW;1;
make_tuile_by_engine;15;0.428485631942749;G and BW;1;
make_tuile_by_engine;15;0.4389829635620117;G and BW;1;
make_tuile_by_engine;15;0.4263498783111572;G and BW;1;
make_tuile_by_engine;15;0.430875301361084;G and BW;1;
make_tuile_by_engine;15;0.4194324016571045;G and BW;1;
make_tuile_by_engine;15;0.43926525115966797;G and BW;1;
make_tuile_by_engine;15;0.4402155876159668;G and BW;1;
make_tuile_by_engine;15;0.4702141284942627;G and BW;1;
make_tuile_by_engine;15;0.43573570251464844;G and BW;1;
make_tuile_by_engine;15;0.431743860244751;G and BW;1;
make_tuile_by_engine;15;0.41724395751953125;G and BW;1;
make_tuile_by_engine;15;0.42281532287597656;G and BW;1;
make_tuile_by_engine;15;0.43485450744628906;G and BW;1;
make_tuile_by_engine;15;0.4305100440979004;G and BW;1;
make_tuile_by_engine;15;0.42146944999694824;G and BW;1;
make_tuile_by_engine;15;0.42610645294189453;G and BW;1;
make_tuile_by_engine;15;0.4510502815246582;G and BW;1;
make_tuile_by_engine;15;0.4419405460357666;G and BW;1;
